,S&P 500 (Live),FTSE 100 (Live),Nikkei 225 (Live),DAX (Live),Russel 2000 (Live),All Ordinaries (Live),CAC 40 (Live),Hang Seng (Live),KOSPI Composite Index (Live),AEX Index (Live),Swiss Market Index (Live),IBEX 35 (Live),S&P CNX Nifty (Live),IPC Mexico (Live),Bovespa Index (Live),S&P/TSX Composite Index (Live),Euro STOXX 50 (Live),FT Straits Times Index,FTSE MIB (Live)
,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel
DateID,SPX2.rk,FTSE2.rk,N2252.rk,GDAXI2.rk,RUT2.rk,AORD2.rk,FCHI2.rk,HSI2.rk,KS11.rk,AEX.rk,SSMI.rk,IBEX2.rk,NSEI.rk,MXX.rk,BVSP.rk,GSPTSE.rk,STOXX50E.rk,FTSTI.rk,FTSEMIB.rk
20000103,0.000160727,,,0.000701914,0.000263566,,0.000261872,0.000261313,,0.000123533,,0.00016832,,8.77E-05,0.000404324,,0.0002718,0.000157734,0.000520486
20000104,0.000264396,0.00024906,0.000161771,0.000591077,0.000231931,4.54E-05,0.000372106,0.000206982,0.000946016,0.000233316,0.000101634,0.000214923,,0.000214076,0.000616988,,0.000252231,0.000123306,0.000336257
20000105,0.00030465,0.000198458,0.000244955,0.001080755,0.000144923,0.000255532,0.000334113,0.001596798,0.001207347,0.0004476,0.000123158,0.000292088,,0.000173187,0.000981948,,0.000505533,0.000394172,0.00042172
20000106,0.000148582,0.000148256,0.000198084,0.000305533,5.60E-05,3.09E-05,0.000248347,0.000869962,0.001071862,0.000224445,8.68E-05,,3.04E-05,5.60E-05,0.000501245,,0.000109865,0.000586028,0.000338846
20000107,0.000123267,0.000125653,0.000156995,0.000300703,3.13E-05,4.32E-05,0.000256571,0.000507742,0.001159469,0.000106595,6.61E-05,0.000155375,3.91E-05,8.22E-05,0.000258179,,0.000148853,0.000159163,0.000159985
20000110,0.000130693,0.00011113,,0.00054788,0.000361985,0.000155896,0.000153432,0.000615005,0.000346109,8.54E-05,3.83E-05,0.000170496,7.99E-05,0.000178826,0.00027809,,0.00023002,0.000118678,0.000378
20000111,7.68E-05,9.37E-05,0.000241846,0.00024688,4.12E-05,0.000392197,0.000211994,0.000279488,0.000349232,0.000111695,5.39E-05,0.000160607,3.90E-05,0.000124361,0.000253461,,0.000134722,0.000234246,0.000335556
20000112,0.000122201,8.15E-05,0.000109523,0.000241762,7.43E-05,0.000263913,0.000177502,0.000147086,0.000281269,0.000153213,4.66E-05,0.000144502,,6.07E-05,0.000244366,,0.000171325,0.00020144,0.000287612
20000113,0.000110056,7.84E-05,3.67E-05,0.000230271,8.93E-05,3.10E-05,0.000173185,0.000336267,0.000534633,0.000132662,3.58E-05,0.00034012,6.86E-05,0.000430536,0.002933851,,0.000147998,0.000101102,0.000175097
20000114,0.000143639,0.000130728,0.000148901,0.000260597,6.52E-05,6.34E-05,0.000183253,0.000267479,0.000578398,9.72E-05,3.67E-05,0.000188656,3.43E-05,8.07E-05,0.000305281,,0.000139836,9.50E-05,0.000167735
20000117,,6.31E-05,0.000177726,0.000279374,,1.71E-05,0.000168201,0.000205568,0.000199446,0.000145023,2.75E-05,0.000134776,4.75E-05,1.19E-05,0.000161893,,0.000129748,0.000178337,0.000320734
20000118,9.86E-05,0.000133857,7.54E-05,0.000374617,2.18E-05,2.84E-05,0.000249262,0.000165591,0.000569614,0.00013496,4.37E-05,0.000189205,4.19E-05,0.000106938,0.000226147,,0.000188005,0.000114974,0.000442429
20000119,5.25E-05,0.000125104,7.11E-05,0.000248269,1.89E-05,5.67E-05,0.000199136,0.000329853,0.000358005,0.000168049,4.41E-05,0.000169376,,5.04E-05,0.000205765,,0.000155947,0.000106603,0.000172036
20000120,0.000120725,0.000122751,0.000128622,0.000392532,6.32E-05,4.99E-05,0.000138428,0.000179335,0.000726335,0.000144923,5.08E-05,0.000202183,4.26E-05,0.000139888,0.000242958,,0.000151143,0.00016938,0.000137024
20000121,5.53E-05,0.000130461,0.000107095,0.000285686,4.21E-05,5.05E-05,0.000226716,0.000124642,0.00058622,0.000126826,4.90E-05,0.000160058,1.36E-05,8.83E-05,0.000173946,,0.000193446,0.000227596,0.000250645
20000124,0.000209122,9.67E-05,5.21E-05,0.000278143,0.000110444,2.52E-05,0.000141593,0.000182025,0.00048103,9.51E-05,4.48E-05,0.00017416,2.68E-05,0.000188845,0.000159602,,0.000157728,0.000210329,0.000121816
20000125,0.00019254,0.000144542,0.000194746,0.000303564,0.000118038,9.53E-05,0.000130632,0.000189403,0.000277678,0.000229867,6.86E-05,0.000128514,1.67E-05,7.09E-05,,,0.000169114,0.000131972,0.000165484
20000126,6.81E-05,0.000111748,3.73E-05,0.00030175,3.21E-05,,0.000105112,0.000136324,0.000493127,0.000131198,6.03E-05,7.33E-05,,8.03E-05,0.000136887,,0.000141082,7.01E-05,0.000111154
20000127,0.000186332,6.61E-05,9.46E-05,0.000301379,9.03E-05,2.55E-05,0.000134511,0.000168294,0.000411052,9.66E-05,4.75E-05,0.00013103,,0.000132722,0.000262471,,0.000115014,6.29E-05,7.37E-05
